temperature_celsius,windspeed_km_h,precipitation_mm,relative_emission in Percont of TAN applied,relative_emission_percentiles,historical_relative_emission_percentiles,total_precipitation_next_48h,total_precipitation_last_24h,runoff_risk,time,windspeed_m_s
6.80615700148853,6.05933097123896,0,0.212121401805032,0,2,0,0,0,2025-05-17T03:00:00Z,1.68314749201082
6.7070648194745,5.68534405428817,0,0.214210705589759,0,2,0,0,0,2025-05-17T04:00:00Z,1.57926223730227
6.77259461950048,4.72666433838997,0,0.216462181848736,0,2,0,0,0,2025-05-17T05:00:00Z,1.31296231621944
7.42959509264979,4.61054336874836,0,0.218722643358753,0,2,0,0,0,2025-05-17T06:00:00Z,1.28070649131899
8.74017147610606,5.27946961809256,0,0.220813272393669,0,2,0,0,0,2025-05-17T07:00:00Z,1.46651933835904
10.6890399243784,5.82650917783863,0,0.222544859665325,0,1,0,0,0,2025-05-17T08:00:00Z,1.61847477162184
12.3398683862711,6.78147348605596,0,0.223775949222205,0,1,0,0,0,2025-05-17T09:00:00Z,1.88374263501555
13.5604240380395,7.31288575843619,0,0.224553954508745,0,1,0,0,0,2025-05-17T10:00:00Z,2.03135715512116
14.4816506590098,8.67941720131845,0,0.224590682937619,0,1,0,0,0,2025-05-17T11:00:00Z,2.41094922258846
15.2779223328231,8.9424060055897,0,0.224040054318701,0,1,0,0,0,2025-05-17T12:00:00Z,2.48400166821936
15.9112275787423,9.37034533885776,0,0.222709138272499,0,1,0,0,0,2025-05-17T13:00:00Z,2.60287370523827
16.4234854444674,9.43918361199478,0,0.220568614388187,0,1,0,0,0,2025-05-17T14:00:00Z,2.62199544777633
16.6099972991205,9.43918361199478,0,0.217696100401868,0,1,0,0,0,2025-05-17T15:00:00Z,2.62199544777633
16.6100431970217,9.22332120750076,0,0.214236575605338,0,1,0,0,0,2025-05-17T16:00:00Z,2.56203366875021
16.3443795958479,9.24039757674463,0,0.210245598063823,0,1,0,0,0,2025-05-17T17:00:00Z,2.56677710465129
15.4942743887194,8.22629938500806,0,0.207141478502129,0,1,0,0,0,2025-05-17T18:00:00Z,2.28508316250224
14.2018373753768,7.78296105282557,0,0.205074691382146,0,1,0,0,0,2025-05-17T19:00:00Z,2.16193362578488
12.3432707454088,6.54589735539635,0,0.204649849156002,0,1,0,0,0,2025-05-17T20:00:00Z,1.81830482094343
10.8639443317335,5.64102109527414,0,0.205177388527924,0,2,0,0,0,2025-05-17T21:00:00Z,1.56695030424282
9.92722937595195,5.64102109527414,0,0.206093363530274,0,2,0,0,0,2025-05-17T22:00:00Z,1.56695030424282
9.34581626091254,5.33587245146037,0,0.207307437746152,0,2,0,0,0,2025-05-17T23:00:00Z,1.48218679207233
8.83311542460014,5.14887899298498,0,0.208762359465895,0,2,0,0,0,2025-05-18T00:00:00Z,1.43024416471805
8.28717057624176,4.67584747563645,0,0.210486942711946,0,2,0,0,0,2025-05-18T01:00:00Z,1.29884652101012
7.80591354943841,3.45634016411118,0,0.212517270370107,0,2,0,0,0,2025-05-18T02:00:00Z,0.960094490030883
7.40007625862862,3.05811980525769,0,0.214729837552404,0,2,0,0,0,2025-05-18T03:00:00Z,0.849477723682691
7.12198046268996,3.05811980525769,0,0.217067114502863,0,2,0.052326126693377,0,0,2025-05-18T04:00:00Z,0.849477723682691
6.9416907324676,3.26934670563579,0,0.219502236966482,0,2,0.108479064945219,0,0,2025-05-18T05:00:00Z,0.908151862676607
7.59716049453411,3.15119152029741,0,0.221964187356898,0,2,0.17472885093059,0,0,2025-05-18T06:00:00Z,0.875330977860392
9.11672477554871,3.49957012691342,0,0.224309481146835,0,2,0.255338824947934,0,0,2025-05-18T07:00:00Z,0.972102813031506
11.4402497715176,3.77283316230969,0,0.226359093540483,1,2,0.351352097035444,0,0,2025-05-18T08:00:00Z,1.04800921175269
13.4472974841016,4.41091022139872,0,0.227999275677338,1,2,0.385864445667791,0,0,2025-05-18T09:00:00Z,1.22525283927742
